film.title	year	imdb	format	languages	NTSC/PAL	duration	source	info	N.	NEW
Cin cin... cianuro	1968	tt0062806	DVD5	ITA	PAL	---	VHS	none	235	false
Cinderella nel regno del sesso	1977	tt0075849	DVD5	ITA	PAL	1h29m56s	DVD	full DVD	308	false
Cinque dita di violenza	1972	tt0062659	DVD5	ITA	PAL	1h45m02s	DVD	[ASIA] full DVD	584	false
Colpi di luce	1985	tt0088940	DVD5	ITA/ENG	PAL	1h25m21s	DVD	full DVD + extras	628	false
Colpo di stato	1969	tt0166135	DVD5	ITA	PAL	1h40m15s	Telecine	none	669	false
Colpo rovente	1970	tt0154344	DVD5	ITA	PAL	1h48m53s	Telecine	original uncut	608	false
Colpo rovente	1970	tt0154344	DVD5	ITA	PAL	1h54m23s	Telecine	custom uncut	64	false
Come fu che Masuccio Salernitano, fuggendo con le brache...	1972	tt0069908	DVD5	ITA	PAL	1h21m40s	VHS	none	18	false
Come rubare la corona d'Inghilterra aka Argoman	1967	tt0061500	DVD5	ITA/ENG/GER	PAL	1h32m07s	DTT	uncut composite	21	false
Come rubare la corona d'Inghilterra aka Argoman	1967	tt0061500	DVD5	ITA/ENG/GER/FRE	PAL	1h33m27s	DVD	uncut composite from Colorado DVD	338	false
Commandos	1968	tt0062819	DVD5	ITA	PAL	1h54m07s	DVD	full DVD	631	false
Compagne nude	1977	tt0284977	DVD5	ITA	PAL	1h25m00s	VHS	none	747	false
Computer Superman	1977	tt3263048	DVD5	THAI	PAL	1h44m04s	DVD	none	0	false
Computer Visions	1991	tt0103996	DVD5	ENG	NTSC	59m37s	VHS	none	0	false
Confessioni segrete di un convento di clausura	1972	tt0068406	DVD5	ITA	PAL	1h33m00s	VHS	none	16	false
Coonskin	1975	tt0071361	DVD5	ITA	PAL	1h34m43s	VHS	none	267	false
Cozzilla aka Godzilla il re dei mostri	1971	tt1543211	DVD5	ITA/ENGsub	NTSC	1h28m59s	VHS	none	22	false
Cozzilla aka Godzilla il re dei mostri	1971	tt1543211	DVD5	ITA/ENGsub	PAL	1h32m49s	Telecine	new transfer; restored	607	false
Crema, cioccolata e...paprika	1981	tt0150221	DVD5	ITA	PAL	1h27m05s	Telecine	uncut and better quality	183	false
Cristiana monaca indemoniata	1972	tt0069929	DVD5	ITA	PAL	---	VHS	none	131	false
Crystalbrain, l'uomo dal cervello di cristallo	1970	tt0066484	DVD5	ITA/ESP/ENGsub	PAL	1h25m24s	VHS	custom mux	400	false
D'improvviso al terzo piano	1977	NOimdb	DVD5	ITA	PAL	1h56m30s	VHS	none	74	false
D'Wild Wild Weng	1982	tt1127178	DVD5	ENG	PAL	1h22m15s	DVD	[ASIA] full DVD + extras	490	false
Da Corleone a Brooklyn	1979	tt0123025	DVD5	ITA/ENG	PAL	1h29m01s	DVD	none	636	false
Da Hong Kong: l'urlo, il furore, la morte	1972	tt0079281	DVD5	ITA	PAL	1h31m15s	Telecine	[ASIA]	276	false
Da Scaramouche or se vuoi l'assoluzione baciar devi sto... cordone!	1973	tt0204236	DVD5	ITA	PAL	1h23m21s	DTT	none	593	false
Da uomo a uomo	1967	tt0064208	DVD5	ITA/ENG/ITAsub	PAL	1h50m16s	DVD	full uncut DVD	587	false
Dagli archivi della polizia criminale	1973	tt0205851	DVD5	ITA(mono-5.1)/ENGsub	PAL	1h22m16s	DVD	full DVD	307	false
Dagobert	1984	tt0086989	DVD5	ITA	PAL	1h48m03s	DVD	full DVD + extras	0	false
Dalla Cina con amore...in Danimarca con furore	1973	tt0164489	DVD5	ITA/ARAhardsub	PAL	0h56m29s	Telecine	[ASIA]	349	false
Dalla Cina con furore	1972	tt0068767	DVD5	ITA	PAL	1h41m25s	DVD	[ASIA] full DVD	378	false
Dark Star	1974	tt0069945	DVD5	ITA/ENG	PAL	1h18m57s	DVD	full DVD + extras	648	false
Das Grauen Kommt Nachs (Delirio Caldo – German ed. + Italian uncut)	1972	tt0068471	DVD9	ITA/GER/ENG	PAL	1h37m34s+1h33m41s	DVD	full uncut Italian edition plus German edition	760	none
Das Lusthaus teuflischer Begierden (La verità secondo Satana - German ed.)	1972	tt0135035	DVD5	GER/ENGsub	PAL	0h47m50s	VHS	none	155	false
Decamerone '300	1972	tt0068460	DVD5	ITA	PAL	1h24m19s	Telecine	none	72	false
Degueyo (Deguello)	1966	tt0060296	DVD5	ITA	PAL	1h33m42	DTT	none	0	false
